policy_id,age,gender,marital_status,region,income_bracket,policy_type,policy_tenure,premium_amount,sum_assured,payment_mode,missed_payments,num_claims,agent_contact,loan_on_policy,lapsed
POL00001,60,Female,Single,Rural,Medium,Term,16,20225,214363,Yearly,3,3,0,1,0
POL00002,50,Female,Married,Semi-Urban,Medium,ULIP,7,21693,397648,Monthly,3,0,0,0,0
POL00003,36,Male,Single,Urban,High,Term,12,11661,137565,Yearly,0,1,1,0,0
POL00004,64,Female,Married,Semi-Urban,Low,ULIP,8,48021,467176,Quarterly,1,0,0,0,0
POL00005,29,Female,Divorced,Rural,Low,ULIP,5,23261,444710,Yearly,0,0,1,1,1
POL00006,42,Male,Single,Semi-Urban,High,Whole Life,10,32378,574475,Yearly,3,0,0,0,0
POL00007,60,Male,Single,Urban,Low,Term,5,26219,462897,Monthly,2,1,1,0,1
POL00008,40,Female,Married,Rural,Low,ULIP,17,16937,214833,Quarterly,3,0,1,0,0
POL00009,44,Male,Married,Urban,Low,Term,5,5794,97580,Quarterly,0,0,0,0,0
POL00010,32,Female,Single,Urban,High,Whole Life,15,11786,90637,Yearly,3,0,1,1,0
POL00011,32,Female,Married,Rural,High,ULIP,13,41782,568166,Yearly,0,1,1,0,0
POL00012,45,Male,Single,Rural,Medium,Endowment,1,45160,892257,Quarterly,4,0,1,0,0
POL00013,57,Male,Divorced,Semi-Urban,Medium,Endowment,11,43121,403801,Quarterly,1,0,0,0,0
POL00014,61,Male,Married,Rural,Medium,Endowment,1,41175,696486,Monthly,1,0,1,0,0
POL00015,45,Male,Single,Semi-Urban,High,Term,11,32032,395825,Yearly,0,1,1,1,0
POL00016,24,Female,Divorced,Urban,Low,Whole Life,18,31427,175899,Yearly,1,0,0,0,0
POL00017,43,Female,Single,Semi-Urban,High,Term,18,22358,367683,Quarterly,2,1,0,0,0
POL00018,23,Male,Single,Rural,Low,Term,16,34790,261917,Monthly,2,1,0,0,1
POL00019,45,Male,Divorced,Semi-Urban,Medium,Endowment,13,25621,370789,Quarterly,1,1,1,0,0
POL00020,65,Female,Married,Rural,Low,Whole Life,7,33365,209697,Yearly,0,0,0,0,0
POL00021,51,Female,Divorced,Urban,Medium,ULIP,1,18189,349283,Yearly,2,0,1,1,0
POL00022,59,Female,Single,Semi-Urban,Medium,Term,16,16213,152010,Yearly,1,2,0,0,0
POL00023,23,Female,Divorced,Semi-Urban,Medium,Endowment,1,12248,102846,Yearly,3,1,0,0,1
POL00024,42,Male,Single,Semi-Urban,Medium,Term,17,9369,64993,Monthly,2,2,1,0,0
POL00025,54,Female,Divorced,Semi-Urban,Medium,Term,6,13050,250429,Yearly,4,1,1,0,0
POL00026,33,Female,Married,Urban,Medium,Whole Life,2,33605,526877,Quarterly,2,0,1,0,0
POL00027,43,Male,Divorced,Rural,Low,ULIP,17,43183,696322,Monthly,1,0,1,0,0
POL00028,65,Female,Divorced,Semi-Urban,Medium,Term,6,20398,254792,Monthly,1,4,1,0,0
POL00029,46,Female,Married,Urban,Low,Term,14,45883,556144,Yearly,1,0,1,1,1
POL00030,48,Male,Single,Rural,Medium,ULIP,18,38055,253077,Monthly,0,0,1,1,0
POL00031,63,Male,Divorced,Urban,Medium,Whole Life,6,8195,109793,Yearly,0,0,1,0,0
